"","rik","alder","kjonn","tillit","valg","redusere"
"823",4,24,2,3,2,1
"824",4,38,1,6,7,3
"825",4,74,2,4,8,3
"826",4,34,1,1,8,4
"827",5,66,2,8,3,2
"828",4,28,2,7,2,1
"829",5,40,1,6,4,2
"830",5,57,1,5,2,1
"831",5,44,2,6,2,1
"832",5,38,2,1,10,2
"833",5,48,2,6,NA,2
"834",5,54,2,8,3,1
"835",5,55,1,7,7,4
"836",5,90,2,6,8,2
"837",5,63,2,4,3,1
"838",6,83,2,9,8,3
"839",5,38,2,4,7,2
"840",3,47,1,7,3,1
"841",5,17,2,9,NA,3
"842",5,NA,1,5,2,2
"843",5,50,1,5,7,2
"844",3,20,1,3,NA,3
"845",4,45,2,4,2,2
"846",4,58,1,3,3,2
"847",2,24,1,7,4,3
"848",6,33,2,8,2,1
"849",4,54,2,6,3,1
"850",5,19,2,6,NA,3
"851",5,90,1,4,8,4
"852",NA,61,1,5,7,3
"853",6,29,2,6,2,2
"854",5,60,1,6,6,2
"855",6,52,2,7,NA,2
"856",4,47,1,6,7,2
"857",5,66,1,7,4,2
"858",5,55,2,6,NA,2
"859",5,44,2,7,7,2
"860",4,29,1,5,7,2
"861",5,48,1,7,7,2
"862",4,65,1,4,3,4
"863",5,15,2,9,NA,1
"864",5,17,2,4,NA,2
"865",5,48,1,6,10,2
"866",4,52,1,6,6,1
"867",5,45,2,7,3,2
"868",3,71,1,1,8,3
"869",3,45,2,8,7,2
"870",5,28,2,9,3,3
"871",6,78,1,4,3,1
"872",5,39,2,5,7,3
"873",5,24,2,6,3,3
"874",3,16,1,8,NA,2
"875",2,55,1,5,8,3
"876",5,74,1,5,3,2
"877",5,75,1,6,7,3
"878",6,53,1,2,10,1
"879",5,42,1,6,7,2
"880",4,64,1,2,8,2
"881",5,37,2,5,7,3
"882",5,62,2,4,NA,2
"883",2,28,1,4,2,2
"884",5,46,1,3,8,4
"885",2,28,1,4,10,1
"886",6,51,1,5,7,1
"887",5,18,2,5,NA,2
"888",6,65,1,5,3,2
"889",2,19,1,5,NA,5
"890",3,43,1,7,2,2
"891",5,17,1,5,NA,3
"892",5,32,1,2,11,1
"893",5,69,1,5,6,1
"894",5,58,1,6,3,2
"895",5,44,2,8,7,3
"896",5,20,2,6,NA,2
"897",6,38,1,6,3,2
"898",4,25,1,4,NA,3
"899",5,49,1,3,3,3
"900",5,48,2,6,3,2
"901",2,23,1,5,3,2
"902",3,19,1,9,NA,4
"903",5,42,2,5,2,2
"904",5,17,2,6,NA,3
"905",5,47,2,4,3,2
"906",5,50,2,4,6,2
"907",2,19,1,5,8,5
"908",3,18,1,5,NA,3
"909",2,38,1,4,5,2
"910",6,65,1,8,8,2
"911",5,41,1,5,7,2
"912",3,44,2,5,3,3
